Title,Year,Language,Genre,Release date (India),Runtime(mins),Banner,Director,Cast
Tom Clancy's Without Remorse,2021,English,"Action, Thriller",29-04-2021,110,"Weed Road Pictures, Outlier Society",Stefano Sollima,"Michael B. Jordan, Jamie Bell"
Venom: Let There Be Carnage,2021,English,"Sci-Fi, Action",30-09-2021,97,"Columbia Pictures, Pascal Pictures",Andy Serkis,"Tom Hardy, Woody Harrelson"
Encanto,2021,English,"Animation, Fantasy",13-10-2021,102,Walt Disney Animation Studios,"Byron Howard, Jared Bush","Stephanie Beatriz, María Cecilia Botero"
Wrath of Man,2021,English,Thriller,22-04-2021,119,"Miramax, Toff Guy Films",Guy Ritchie,"Jason Statham, Holt McCallany"
Cruella,2021,English,Adventure,26-05-2021,134,"Walt Disney Pictures, Gunn Films",Craig Gillespie,"Emma Stone, Emma Thompson"
Zack Snyder's Justice League,2021,English,"Action, Adventure",18-03-2021,242,"Warner Bros. Pictures, The Stone Quarry",Zack Snyder,"Ben Affleck, Henry Cavill"
Shang-Chi and the Legend of the Ten Rings,2021,English,"Action, Adventure",03-09-2021,132,Marvel Studios,Destin Daniel Cretton,"Simu Liu, Tony Leung Chiu-wai"
Sing 2,2021,English,Animation,01-12-2021,109,Illumination,Garth Jennings,"Matthew McConaughey, Reese Witherspoon"
Free Guy,2021,English,"Adventure, Sci-Fi",17-09-2021,115,"Berlanti Productions, 21 Laps Entertainment",Shawn Levy,"Ryan Reynolds, Jodie Comer"
A Quiet Place Part II,2021,English,"Sci-Fi, Thriller",21-05-2021,96,"Paramount Pictures, Platinum Dunes",John Krasinski,"Emily Blunt, John Krasinski"
Luca,2021,English,"Animation, Fantasy",17-06-2021,95,Pixar,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer"
The Voyeurs,2021,English,Thriller,25-08-2021,117,Divide / Conquer,Michael Mohan,"Sydney Sweeney, Justice Smith"
No Time to Die,2021,English,"Action, Thriller",30-09-2021,163,"EON Productions, Metro-Goldwyn-Mayer",Cary Joji Fukunaga,"Daniel Craig, Léa Seydoux"
The Woman in the Window,2021,English,Thriller,13-05-2021,102,"Fox 2000 Pictures, 20th Century Studios",Joe Wright,"Amy Adams, Gary Oldman"
The Matrix Resurrections,2021,English,"Sci-Fi, Action",16-12-2021,147,"Warner Bros. Pictures, Village Roadshow Pictures",Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss"
Eternals,2021,English,"Sci-Fi, Action",03-11-2021,156,Marvel Studios,Chloé Zhao,"Gemma Chan, Richard Madden"
Black Widow,2021,English,"Action, Adventure",07-07-2021,134,Marvel Studios,Cate Shortland,"Scarlett Johansson, Florence Pugh"
The Forever Purge,2021,English,"Action, Thriller",30-06-2021,103,"Blumhouse Productions, Platinum Dunes",Everardo Gout,"Ana de la Reguera, Josh Lucas"
The King's Man,2021,English,"Action, Adventure",14-01-2022,131,"Marv, Cloudy Productions",Matthew Vaughn,"Ralph Fiennes, Gemma Arterton"
Red Notice,2021,English,Action,04-11-2021,118,"Flynn Picture Company, Seven Bucks Productions",Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds"
The Boss Baby: Family Business,2021,English,"Animation, Adventure",01-07-2021,107,"DreamWorks Animation, Universal Pictures",Tom McGrath,"Alec Baldwin, James Marsden"
F9,2021,English,"Action, Adventure",25-06-2021,143,"Original Film, One Race",Justin Lin,"Vin Diesel, Michelle Rodriguez"
The Green Knight,2021,English,"Adventure, Fantasy",27-08-2021,130,"A24, Bron Studios",David Lowery,"Dev Patel, Alicia Vikander"
Finch,2021,English,"Sci-Fi, Adventure",04-11-2021,115,"Amblin Entertainment, ImageMovers",Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones"
Mortal Kombat,2021,English,"Action, Fantasy",23-04-2021,110,"Atomic Monster, Broken Road Productions",Simon McQuoid,"Lewis Tan, Jessica McNamee"
Snake Eyes: G.I. Joe Origins,2021,English,"Action, Adventure",22-07-2021,121,"Paramount Pictures, Metro-Goldwyn-Mayer",Robert Schwentke,"Henry Golding, Andrew Koji"
Godzilla vs. Kong,2021,English,"Action, Sci-Fi",24-03-2021,114,Legendary Pictures,Adam Wingard,"Alexander Skarsgård, Rebecca Hall"
LOL Surprise: The Movie,2021,English,Animation,08-10-2021,47,Pixel Zoo,Alex Kamb,"Ayla Rae Neal, Sonya Krueger"
Don't Look Up,2021,English,Sci-Fi,08-12-2021,138,Hyperobject Industries,Adam McKay,"Leonardo DiCaprio, Jennifer Lawrence"
Army of the Dead,2021,English,Action,14-05-2021,148,The Stone Quarry,Zack Snyder,"Dave Bautista, Ella Purnell"
Wrong Turn,2021,English,Thriller,26-01-2021,110,"Constantin Film, The H Collective",Mike P. Nelson,"Charlotte Vega, Adain Bradley"
Raya and the Last Dragon,2021,English,"Animation, Fantasy",03-03-2021,107,Walt Disney Animation Studios,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina"
PAW Patrol: The Movie,2021,English,"Adventure, Animation",09-08-2021,86,"Spin Master, Nickelodeon Movies",Cal Brunker,"Tyler Perry, Ron Pardo"
Wish Dragon,2021,English,"Animation, Fantasy",15-01-2021,99,"Sony Pictures Animation, Tencent Pictures",Chris Appelhans,"Jimmy Wong, John Cho"
Infinite,2021,English,"Sci-Fi, Action",09-09-2021,106,"di Bonaventura Pictures, Closest to the Hole Productions",Antoine Fuqua,"Mark Wahlberg, Chiwetel Ejiofor"
The Last Duel,2021,English,Action,22-10-2021,153,"20th Century Studios, Pearl Street Films",Ridley Scott,"Matt Damon, Adam Driver"
Jungle Cruise,2021,English,"Fantasy, Adventure",24-09-2021,127,"Walt Disney Pictures, Seven Bucks Productions",Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt"
Ghostbusters: Afterlife,2021,English,"Fantasy, Adventure",18-11-2021,124,"Columbia Pictures, Bron Studios",Jason Reitman,"Mckenna Grace, Finn Wolfhard"
Halloween Kills,2021,English,Thriller,14-10-2021,105,"Blumhouse Productions, Miramax",David Gordon Green,"Jamie Lee Curtis, Judy Greer"
The Misfits,2021,English,"Action, Thriller",03-06-2021,94,"Kjam Media, RNG Entertainment",Renny Harlin,"Pierce Brosnan, Tim Roth"
Spirit Untamed,2021,English,"Animation, Adventure",20-05-2021,88,"Universal Pictures, DreamWorks Animation",Elaine Bogan,"Isabela Merced, Julianne Moore"
The Mitchells vs. the Machines,2021,English,"Animation, Adventure",22-04-2021,109,"Lord Miller, Columbia Pictures",Mike Rianda,"Abbi Jacobson, Danny McBride"
Old,2021,English,Thriller,17-09-2021,108,"Universal Pictures, Perfect World Pictures",M. Night Shyamalan,"Gael García Bernal, Vicky Krieps"
LEGO Star Wars Terrifying Tales,2021,English,"Animation, Sci-Fi",01-10-2021,45,"Lucasfilm Ltd., Atomic Cartoons",Ken Cunningham,"Jake Green, Raphael Alejandro"
Nightmare Alley,2021,English,Thriller,03-12-2021,151,"Searchlight Pictures, Double Dare You",Guillermo del Toro,"Bradley Cooper, Cate Blanchett"
Resident Evil: Welcome to Raccoon City,2021,English,"Action, Sci-Fi",26-11-2021,107,"Constantin Film, Screen Gems",Johannes Roberts,"Kaya Scodelario, Hannah John-Kamen"
Gone Mom: The Disappearance of Jennifer Dulos,2021,English,Thriller,05-06-2021,88,"Lighthouse Pictures, Lifetime",Gail Harvey,"Annabeth Gish, Warren Christie"
Tom & Jerry,2021,English,Animation,10-02-2021,101,"Warner Animation Group, Turner Entertainment Co.",Tim Story,"Chloë Grace Moretz, Michael Peña"
The Addams Family 2,2021,English,"Animation, Fantasy",01-10-2021,93,"Metro-Goldwyn-Mayer, Bron Studios","Greg Tiernan, Conrad Vernon","Oscar Isaac, Charlize Theron"
Old Henry,2021,English,Action,01-10-2021,99,"Shout! Studios, Hideout Pictures",Potsy Ponciroli,"Tim Blake Nelson, Scott Haze"
The Guilty,2021,English,Thriller,24-09-2021,91,"Nine Stories Productions, Bold Films",Antoine Fuqua,"Jake Gyllenhaal, Ethan Hawke"
Army of Thieves,2021,English,Action,29-10-2021,127,"Pantaleon Films, The Stone Quarry",Matthias Schweighöfer,"Matthias Schweighöfer, Nathalie Emmanuel"
VIRGO,2021,English,Adventure,14-04-2021,87,"Fox in the Snow Films, Lykantrop",Alyssa Toledo,"Drew Starkey, Rudy Pankow"
The Protégé,2021,English,"Action, Thriller",19-08-2021,109,"Millennium Media, Arthur Sarkissian Productions",Martin Campbell,"Maggie Q, Samuel L. Jackson"
Jolt,2021,English,"Action, Thriller",15-07-2021,91,"Millennium Media, Amazon Studios",Tanya Wexler,"Kate Beckinsale, Stanley Tucci"
Hitman's Wife's Bodyguard,2021,English,"Action, Thriller",14-06-2021,100,"Nu Boyana Film Studios, Summit Entertainment",Patrick Hughes,"Ryan Reynolds, Samuel L. Jackson"
Boss Level,2021,English,"Action, Sci-Fi",19-02-2021,101,"WarParty Films, Highland Film Group",Joe Carnahan,"Frank Grillo, Mel Gibson"
Run Hide Fight,2021,English,"Action, Thriller",17-06-2021,109,"Bonfire Legend, Good Wizard",Kyle Rankin,"Isabel May, Thomas Jane"
The Ice Road,2021,English,"Action, Thriller",24-06-2021,108,"Shivhans Pictures, Code Entertainment",Jonathan Hensleigh,"Liam Neeson, Amber Midthunder"
Copshop,2021,English,"Thriller, Action",09-09-2021,108,"WarParty Films, Sculptor Media",Joe Carnahan,"Gerard Butler, Frank Grillo"
Prisoners of the Ghostland,2021,English,"Action, Fantasy",31-08-2021,103,"Eleven Arts Studios, Untitled Entertainment",Sion Sono,"Nicolas Cage, Sofia Boutella"
Swan Song,2021,English,Sci-Fi,06-08-2021,105,"Luna Pictures, Magnolia Pictures",Todd Stephens,"Udo Kier, Jennifer Coolidge"
"The Good, the Bart, and the Loki",2021,English,Animation,07-07-2021,6,"Gracie Films, 20th Television",David Silverman,"Tom Hiddleston, Dan Castellaneta"
Last Night in Soho,2021,English,Thriller,12-11-2021,116,"Focus Features, Film4 Productions",Edgar Wright,"Thomasin McKenzie, Anya Taylor-Joy"
A House on the Bayou,2021,English,Thriller,19-11-2021,89,"Epix, Blumhouse Television",Alex McAulay,"Paul Schneider, Angela Sarafyan"
Day of Destiny,2021,English,Sci-Fi,30-10-2021,110,"Anthill Productions, InkBlot Productions","Abosi Ogba, Akay Mason","Olumide Oworu, Denola Grey"
Back to the Outback,2021,English,"Animation, Adventure",03-12-2021,92,Netflix,"Claire Knight, Harry Cripps","Isla Fisher, Tim Minchin"
Don't Breathe 2,2021,English,Thriller,17-09-2021,98,"Ghost House Pictures, Stage 6 Films",Rodo Sayagues,"Stephen Lang, Madelyn Grace"
Night Teeth,2021,English,"Thriller, Action",20-10-2021,107,"42, Unique Features",Adam Randall,"Jorge Lendeborg Jr., Debby Ryan"
The Mauritanian,2021,English,Thriller,12-02-2021,129,"30WEST, Topic Studios",Kevin Macdonald,"Tahar Rahim, Jodie Foster"
Deadly Radio Romance,2021,English,Thriller,14-03-2021,86,"Dawn's Light, BondIt Media Capital",Mike Hoy,"Skye Coyne, Jillian Murray"
My Little Pony: A New Generation,2021,English,"Animation, Fantasy",22-09-2021,90,"Boulder Media, Entertainment One","José Luis Ucha, Mark Fattibene","Vanessa Hudgens, Kimiko Glenn"
Awake,2021,English,"Sci-Fi, Thriller",09-06-2021,96,"Entertainment One, Paul Schiff Productions",Mark Raso,"Gina Rodriguez, Ariana Greenblatt"
Planet Dune,2021,English,"Sci-Fi, Adventure",29-10-2021,86,"Atomic Blonde Entertainment, The Asylum","Glenn Campbell, Tammy Klein","Sean Young, Emily Killian"
No Sudden Move,2021,English,Thriller,24-06-2021,115,"Warner Bros. Pictures, HBO Max",Steven Soderbergh,"Don Cheadle, Benicio del Toro"
Deadly Illusions,2021,English,Thriller,18-03-2021,114,"Kiss and Tale Productions, Voltage Pictures",Anna Elizabeth James,"Kristin Davis, Dermot Mulroney"
Rogue Hostage,2021,English,"Action, Adventure",11-06-2021,94,"Yale Productions, BondIt Media Capital",Jon Keeyes,"Tyrese Gibson, John Malkovich"
Rise of the Footsoldier: Origins,2021,English,Action,03-09-2021,107,"Empire Pictures, Haymarket Films",Nick Nevern,"Terry Stone, Vinnie Jones"
The Black Phone,2022,English,Thriller,16-06-2022,103,"Blumhouse Productions, Crooked Highway",Scott Derrickson,"Mason Thames, Ethan Hawke"
Avatar: The Way of Water,2022,English,"Action, Adventure",16-12-2022,192,"20th Century Studios, Lightstorm Entertainment",James Cameron,"Sam Worthington, Zoe Saldaña"
As Good as Dead,2022,English,Action,16-12-2022,88,"Odyssey Motion Pictures, Badhouse Studios Mexico",R. Ellis Frazier,"Tom Berenger, Michael Jai White"
Top Gun: Maverick,2022,English,Action,27-05-2022,131,"Skydance Media, Don Simpson/Jerry Bruckheimer Films",Joseph Kosinski,"Tom Cruise, Val Kilmer"
The Batman,2022,English,Thriller,04-03-2022,177,"6th & Idaho Motion Picture Company, Dylan Clark Productions",Matt Reeves,"Robert Pattinson, Zoë Kravitz"
Hotel Transylvania: Transformania,2022,English,"Animation, Adventure",31-01-2022,92,"Sony Pictures Animation, Sony Pictures","Derek Drymon, Jennifer Kluska","Andy Samberg, Selena Gomez"
Everything Everywhere All at Once,2022,English,"Action, Adventure",16-09-2022,140,"IAC Films, AGBO","Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Stephanie Hsu"
Turning Red,2022,English,"Animation, Fantasy",10-03-2022,100,Pixar,Domee Shi,"Rosalie Chiang, Sandra Oh"
Puss in Boots: The Last Wish,2022,English,"Animation, Adventure",20-01-2023,103,DreamWorks Animation,Joel Crawford,"Antonio Banderas, Salma Hayek Pinault"
The Bad Guys,2022,English,"Adventure, Animation",17-03-2022,100,DreamWorks Animation,Pierre Perifel,"Sam Rockwell, Marc Maron"
Terrifier 2,2022,English,Thriller,28-10-2022,138,"Dark Age Cinema, Fuzz on the Lens Productions",Damien Leone,"David Howard Thornton, Lauren LaVera"
Doctor Strange in the Multiverse of Madness,2022,English,"Fantasy, Action",06-05-2022,126,"Marvel Studios, Kevin Feige Productions",Sam Raimi,"Benedict Cumberbatch, Xochitl Gomez"
Sonic the Hedgehog 2,2022,English,"Action, Adventure",30-03-2022,123,"Original Film, Blur Studio",Jeff Fowler,"Ben Schwartz, James Marsden"
Bullet Train,2022,English,"Action, Thriller",03-08-2022,126,"87North Productions, Columbia Pictures",David Leitch,"Brad Pitt, Joey King"
Jurassic World Dominion,2022,English,"Adventure, Action",01-06-2022,147,"Amblin Entertainment, Universal Pictures",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard"
Deep Water,2022,English,Thriller,17-03-2022,116,"New Regency Pictures, Entertainment 360",Adrian Lyne,"Ben Affleck, Ana de Armas"
Prey,2022,English,"Thriller, Action",02-08-2022,100,"20th Century Studios, Davis Entertainment",Dan Trachtenberg,"Amber Midthunder, Dakota Beavers"
Hocus Pocus 2,2022,English,Fantasy,27-09-2022,107,"Walt Disney Pictures, Weimaraner Republic Pictures",Anne Fletcher,"Bette Midler, Sarah Jessica Parker"
X,2022,English,Thriller,17-03-2022,106,"A24, Little Lamb Productions",Ti West,"Mia Goth, Jenna Ortega"
Thor: Love and Thunder,2022,English,"Fantasy, Action",06-07-2022,119,"Marvel Studios, Kevin Feige Productions",Taika Waititi,"Chris Hemsworth, Natalie Portman"
Black Panther: Wakanda Forever,2022,English,"Action, Adventure",09-11-2022,162,Marvel Studios,Ryan Coogler,"Letitia Wright, Tenoch Huerta Mejía"
Black Adam,2022,English,"Action, Adventure",19-10-2022,125,"New Line Cinema, Flynn Picture Company",Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge"
Fall,2022,English,Thriller,11-08-2022,107,"Tea Shop Productions, Capstone Pictures",Scott Mann,"Grace Caroline Currey, Virginia Gardner"
The Menu,2022,English,Thriller,17-11-2022,107,"Hyperobject Industries, Searchlight Pictures",Mark Mylod,"Anya Taylor-Joy, Ralph Fiennes"
Pearl,2022,English,Thriller,16-09-2022,102,"A24, Little Lamb Productions",Ti West,"Mia Goth, David Corenswet"
Moonfall,2022,English,"Sci-Fi, Adventure",02-02-2022,131,"Centropolis Entertainment, Street Entertainment",Roland Emmerich,"Halle Berry, Patrick Wilson"
Luck,2022,English,"Animation, Adventure",05-08-2022,105,"Skydance Animation, Skydance Animation East",Peggy Holmes,"Eva Noblezada, Simon Pegg"
M3GAN,2022,English,Sci-Fi,13-01-2023,102,"Atomic Monster, Blumhouse Productions",Gerard Johnstone,"Allison Williams, Violet McGraw"
The Northman,2022,English,"Action, Adventure",07-04-2022,137,"Regency Enterprises, New Regency Pictures",Robert Eggers,"Alexander Skarsgård, Nicole Kidman"
Barbarian,2022,English,Thriller,08-09-2022,102,"BoulderLight Pictures, Vertigo Entertainment",Zach Cregger,"Georgina Campbell, Justin Long"
The Ice Age Adventures of Buck Wild,2022,English,"Animation, Adventure",28-01-2022,82,"Bardel Entertainment, Walt Disney Pictures",John C. Donkin,"Simon Pegg, Vincent Tong"
Morbius,2022,English,"Action, Sci-Fi",01-04-2022,105,"Columbia Pictures, Matt Tolmach Productions",Daniel Espinosa,"Jared Leto, Matt Smith"
Fantastic Beasts: The Secrets of Dumbledore,2022,English,"Fantasy, Adventure",06-04-2022,142,"Warner Bros. Pictures, Heyday Films",David Yates,"Eddie Redmayne, Jude Law"
Minions: The Rise of Gru,2022,English,"Adventure, Animation",29-06-2022,87,"Universal Pictures, Illumination",Kyle Balda,"Steve Carell, Pierre Coffin"
The School for Good and Evil,2022,English,"Fantasy, Adventure",19-10-2022,149,"Feigco Entertainment, Jane Startz Productions",Paul Feig,"Sofia Wylie, Sophia Anne Caruso"
Halloween Ends,2022,English,Thriller,12-10-2022,111,"Universal Pictures, Blumhouse Productions",David Gordon Green,"Jamie Lee Curtis, Andi Matichak"
The Lost City,2022,English,"Action, Adventure",23-03-2022,112,"Fortis Films, 3dot Productions","Aaron Nee, Adam Nee","Sandra Bullock, Channing Tatum"
Nope,2022,English,"Sci-Fi, Thriller",19-08-2022,130,"Universal Pictures, Monkeypaw Productions",Jordan Peele,"Daniel Kaluuya, Keke Palmer"
Strange World,2022,English,"Animation, Adventure",23-11-2022,102,Walt Disney Animation Studios,Don Hall,"Jake Gyllenhaal, Dennis Quaid"
The Sea Beast,2022,English,"Animation, Adventure",24-06-2022,115,Netflix,Chris Williams,"Karl Urban, Zaris-Angel Hator"
The Gray Man,2022,English,"Action, Thriller",13-07-2022,129,"AGBO, Roth-Kirschenbaum Films","Joe Russo, Anthony Russo","Ryan Gosling, Chris Evans"
The Outfit,2022,English,Thriller,25-02-2022,105,"Focus Features, FilmNation Entertainment",Graham Moore,"Mark Rylance, Zoey Deutch"
The Exorcism of God,2022,English,Fantasy,11-03-2022,98,"Epica Pictures INC, Kabche Film Production",Alejandro Hidalgo,"Will Beinbrink, María Gabriela de Faría"
Secret Headquarters,2022,English,"Action, Adventure",12-08-2022,104,"Paramount Pictures, Jerry Bruckheimer Films","Ariel Schulman, Henry Joost","Owen Wilson, Michael Peña"
The Woman King,2022,English,Action,03-02-2023,135,"TriStar Pictures, JuVee Productions",Gina Prince-Bythewood,"Viola Davis, Thuso Mbedu"
Memory,2022,English,"Action, Thriller",28-04-2022,114,"Black Bear Pictures, Welle Entertainment",Martin Campbell,"Liam Neeson, Guy Pearce"
Uncharted,2022,English,"Action, Adventure",10-02-2022,116,"Columbia Pictures, Atlas Entertainment",Ruben Fleischer,"Tom Holland, Mark Wahlberg"
Curse of Crom: The Legend of Halloween,2022,English,Fantasy,23-09-2022,92,"FireSpire Productions, Arrowstorm Entertainment",Rob York,"Chelsea Jurkiewicz, Tanner Gillman"
DC League of Super-Pets,2022,English,"Adventure, Animation",27-07-2022,105,"Warner Animation Group, DC Entertainment",Jared Stern,"Dwayne Johnson, Kevin Hart"
Trick or Treat Scooby-Doo!,2022,English,"Adventure, Animation",04-10-2022,77,Warner Bros. Animation,Audie Harrison,"Frank Welker, Grey DeLisle"
Pinocchio,2022,English,"Fantasy, Adventure",07-09-2022,105,"Walt Disney Pictures, Depth of Field",Robert Zemeckis,"Joseph Gordon-Levitt, Tom Hanks"
"The Boy, the Mole, the Fox and the Horse",2022,English,"Animation, Adventure",25-12-2022,35,"NoneMore Productions, Bad Robot","Peter Baynton, Charlie Mackesy","Jude Coward Nicoll, Tom Hollander"
Orphan: First Kill,2022,English,Thriller,17-10-2022,99,"Dark Castle Entertainment, Entertainment One",William Brent Bell,"Isabelle Fuhrman, Julia Stiles"
Sniper: Rogue Mission,2022,English,"Action, Thriller",16-08-2022,96,Destination Films,Oliver Thompson,"Chad Michael Collins, Ryan Robbins"
The Adventure of A.R.I.: My Robot Friend,2022,English,Sci-Fi,13-01-2022,89,"Ace Entertainment, Master Key Production",Stephen Shimek,"Greg Lutz, J.R. Brown"
The Contractor,2022,English,"Action, Thriller",10-03-2022,103,"Thunder Road, 30WEST",Tarik Saleh,"Chris Pine, Kiefer Sutherland"
Roald Dahl's Matilda the Musical,2022,English,Fantasy,25-11-2022,117,"Working Title Films, The Roald Dahl Story Company",Matthew Warchus,"Alisha Weir, Emma Thompson"
Death on the Nile,2022,English,Thriller,09-02-2022,127,"The Mark Gordon Company, Genre Films",Kenneth Branagh,"Kenneth Branagh, Tom Bateman"
Monster High: The Movie,2022,English,"Fantasy, Adventure",06-10-2022,89,"Mattel Television, Brightlight Pictures",Todd Holland,"Miia Harris, Ceci Balagot"
Mortal Kombat Legends: Snow Blind,2022,English,"Animation, Action",09-10-2022,82,Warner Bros. Animation,Rick Morales,"Manny Jacinto, David Wenham"
Fresh,2022,English,Thriller,03-03-2022,114,"Legendary Pictures, Hyperobject Industries",Mimi Cave,"Daisy Edgar-Jones, Sebastian Stan"
Section 8,2022,English,"Action, Thriller",23-09-2022,98,Firebrand,Christian Sesma,"Ryan Kwanten, Dolph Lundgren"
Heatwave,2022,English,Thriller,17-01-2022,100,"All Canadian Entertainment, Motion Picture Corporation of America",Ernie Barbarash,"Kat Graham, Merritt Patterson"
The Adam Project,2022,English,"Adventure, Sci-Fi",11-03-2022,106,"Skydance Media, Maximum Effort",Shawn Levy,"Ryan Reynolds, Walker Scobell"
The Magic Flute,2022,English,"Adventure, Fantasy",30-09-2022,125,"Flute Film, Bayerischer Banken-Fonds",Florian Sigl,"Jack Wolfe, F. Murray Abraham"
No Exit,2022,English,Thriller,24-02-2022,96,"20th Century Studios, Flitcraft",Damien Power,"Havana Rose Liu, Danny Ramirez"
How to Live Your Best Death,2022,English,Thriller,30-09-2022,87,"Synthetic Cinema International, Johnson Production Group",Rachel Annette Helson,"Alissa Filoramo, Al Pagano"
I Came By,2022,English,Thriller,19-08-2022,110,"XYZ Films, Two & Two Pictures",Babak Anvari,"George MacKay, Percelle Ascott"
Buried in Barstow,2022,English,"Thriller, Action",04-06-2022,85,"Untitled Entertainment, The Cartel",Howard Deutch,"Angie Harmon, Kristoffer Polaha"
The Enforcer,2022,English,Action,22-09-2022,91,"Born to Burn Films, Millennium Media",Richard Hughes,"Antonio Banderas, Kate Bosworth"
Ambulance,2022,English,"Thriller, Action",16-03-2022,136,"Bay Films, Endeavor Content",Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II"
Paws of Fury: The Legend of Hank,2022,English,"Animation, Adventure",22-07-2022,94,"Flying Tigers Entertainment, Aniventure","Rob Minkoff, Chris Bailey","Michael Cera, Samuel L. Jackson"
The Great Wolf Pack: A Call to Adventure,2022,English,"Adventure, Animation",03-09-2022,45,"Great Wolf Entertainment, Six Point Harness",Chris Bailey,"Brandon Winckler, Maya Tuttle"
The Huntress: Rune of the Dead,2022,English,Adventure,21-07-2022,105,"ITN Films, Tirzitis Entertainment",Rasmus Tirzitis,"Moa Enqvist Stefansdotter, Yohanna Idha"
The Last Victim,2022,English,"Thriller, Action",13-05-2022,103,Decal,Naveen A. Chathapuram,"Ali Larter, Ron Perlman"
Guillermo del Toro's Pinocchio,2022,English,"Animation, Fantasy",09-11-2022,117,"The Jim Henson Company, ShadowMachine","Mark Gustafson, Guillermo del Toro","Ewan McGregor, David Bradley"
Three Thousand Years of Longing,2022,English,Fantasy,24-08-2022,108,"FilmNation Entertainment, Elevate Production Finance",George Miller,"Tilda Swinton, Idris Elba"
Dead for a Dollar,2022,English,"Thriller, Action",30-09-2022,106,"Chaos, a Film Company, Polaris Pictures",Walter Hill,"Christoph Waltz, Willem Dafoe"
Collide,2022,English,Thriller,05-08-2022,90,"Guns at Dawn, Vertical",Mukunda Michael Dewil,"Ryan Phillippe, Kat Graham"
The 355,2022,English,"Action, Adventure",05-01-2022,122,"Freckle Films, Genre Films",Simon Kinberg,"Jessica Chastain, Lupita Nyong'o"
Don't Worry Darling,2022,English,"Sci-Fi, Thriller",21-09-2022,123,"Vertigo Entertainment, New Line Cinema",Olivia Wilde,"Florence Pugh, Harry Styles"
Jurassic World Camp Cretaceous: Hidden Adventure,2022,English,"Action, Adventure",15-11-2022,32,"Amblin Entertainment, DreamWorks Animation Television","Eric Elrod, Leah Artwick","Paul-Mikél Williams, Sean Giambrone"
Lightyear,2022,English,"Animation, Sci-Fi",15-06-2022,105,Pixar,Angus MacLane,"Chris Evans, Keke Palmer"
Violent Night,2022,English,"Action, Fantasy",30-11-2022,111,"87North Productions, Universal Pictures",Tommy Wirkola,"David Harbour, John Leguizamo"
In Space with Markiplier: Part 2,2022,English,"Adventure, Sci-Fi",02-05-2022,70,YouTube Originals,"Mark Fischbach, Philip Roy","Mark Fischbach, Jordan Bradley"
My Father's Dragon,2022,English,"Animation, Adventure",04-11-2022,99,"Cartoon Saloon, Mockingbird Pictures",Nora Twomey,"Jacob Tremblay, Golshifteh Farahani"
Fast X,2023,English,"Action, Thriller",19-05-2023,142,"Universal Pictures, Original Film",Louis Leterrier,"Vin Diesel, Michelle Rodriguez"
The Family Plan,2023,English,Action,14-12-2023,118,"Municipal Pictures, Skydance Media",Simon Cellan Jones,"Mark Wahlberg, Michelle Monaghan"
Barbie,2023,English,Adventure,21-07-2023,114,"LuckyChap Entertainment, Heyday Films",Greta Gerwig,"Margot Robbie, Ryan Gosling"
Spider-Man: Across the Spider-Verse,2023,English,"Animation, Action",01-06-2023,140,"Columbia Pictures, Sony Pictures Animation","Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld"
John Wick: Chapter 4,2023,English,"Action, Thriller",22-03-2023,170,"Thunder Road, 87Eleven",Chad Stahelski,"Keanu Reeves, Donnie Yen"
Mission: Impossible - Dead Reckoning Part One,2023,English,"Action, Adventure",12-07-2023,164,"Paramount Pictures, Skydance Media",Christopher McQuarrie,"Tom Cruise, Hayley Atwell"
The Super Mario Bros. Movie,2023,English,"Adventure, Animation",07-04-2023,93,"Universal Pictures, Illumination","Aaron Horvath, Michael Jelenic","Chris Pratt, Anya Taylor-Joy"
Guardians of the Galaxy Vol. 3,2023,English,"Sci-Fi, Adventure",03-05-2023,150,"Marvel Studios, Kevin Feige Productions",James Gunn,"Chris Pratt, Zoe Saldaña"
The Flash,2023,English,"Adventure, Action",15-06-2023,144,"Warner Bros. Pictures, Double Dream",Andy Muschietti,"Ezra Miller, Sasha Calle"
Elemental,2023,English,"Fantasy, Animation",16-06-2023,102,Pixar,Peter Sohn,"Leah Lewis, Mamoudou Athie"
Poor Things,2023,English,Sci-Fi,07-12-2023,141,"Searchlight Pictures, Film4 Productions",Yorgos Lanthimos,"Emma Stone, Mark Ruffalo"
Meg 2: The Trench,2023,English,"Action, Sci-Fi",02-08-2023,116,"Apelles Entertainment, Warner Bros. Pictures",Ben Wheatley,"Jason Statham, Wu Jing"
Five Nights at Freddy's,2023,English,Thriller,27-10-2023,110,"Blumhouse Productions, Scott Cawthon Productions",Emma Tammi,"Josh Hutcherson, Piper Rubio"
